==== FILE = /Users/maksimus/RiderProjects/CompGraph/Assets/cow.obj
(0,175113|0,056499|-0,090003) (0,172679|0,073561|-0,065941) (0,205871|0,042661|-0,064288)
(0,172679|0,073561|-0,065941) (0,174819|0,076681|-0,02998) (0,205871|0,042661|-0,064288)
(0,175113|0,056499|-0,090003) (0,205871|0,042661|-0,064288) (0,19429|0,043341|-0,107181)
(0,221063|0,030137|-0,042739) (0,212797|0,034275|-0,086854) (0,205871|0,042661|-0,064288)
(0,223742|0,042053|-0,001958) (0,194878|0,06706|-0,002086) (0,21234|0,054666|0,024988)
(0,194878|0,06706|-0,002086) (0,174819|0,076681|-0,02998) (0,184652|0,09728|0,002187)
(0,174819|0,076681|-0,02998) (0,223742|0,042053|-0,001958) (0,221063|0,030137|-0,042739)
(0,221063|0,030137|-0,042739) (0,205871|0,042661|-0,064288) (0,174819|0,076681|-0,02998)
(0,174819|0,076681|-0,02998) (0,194878|0,06706|-0,002086) (0,223742|0,042053|-0,001958)
(-0,177425|0,075155|-0,132133) (-0,171936|0,090919|-0,109723) (-0,136898|0,082435|-0,133815)
(-0,171936|0,090919|-0,109723) (-0,130119|0,093058|-0,116734) (-0,136898|0,082435|-0,133815)
(-0,130119|0,093058|-0,116734) (-0,082912|0,087507|-0,113439) (-0,084464|0,081022|-0,123959)
(-0,084464|0,081022|-0,123959) (-0,084823|0,047428|-0,134401) (-0,128665|0,035418|-0,140796)
(-0,128665|0,035418|-0,140796) (-0,177752|0,040034|-0,136337) (-0,136898|0,082435|-0,133815)
(-0,084823|0,047428|-0,134401) (0,006374|0,061312|-0,099848) (0,018217|0,040288|-0,104698)
(0,012238|-0,0009860001|-0,111112) (-0,089642|-0,035635|-0,136894) (-0,084823|0,047428|-0,134401)
(-0,128665|0,035418|-0,140796) (-0,176592|-0,039254|-0,136611) (-0,177752|0,040034|-0,136337)
(-0,136898|0,082435|-0,133815) (-0,177752|0,040034|-0,136337) (-0,177425|0,075155|-0,132133)
(-0,372136|0,11334|-0,115463) (-0,399987|0,10999|-0,140414) (-0,375141|0,113708|-0,090756)
(0,102603|0,114316|-0,099428) (0,118072|0,120713|-0,065325) (0,113514|0,104429|-0,126482)
(0,069704|0,101143|-0,098802) (0,07173|0,117332|-0,059458) (0,078835|0,110125|-0,101217)
(0,07173|0,117332|-0,059458) (0,118072|0,120713|-0,065325) (0,102603|0,114316|-0,099428)
(0,054007|0,099351|-0,053876) (0,07173|0,117332|-0,059458) (0,069704|0,101143|-0,098802)
(0,245401|0,051867|0,090603) (0,210118|0,051327|0,144984) (0,275392|0,050081|0,150596)
(0,25218|0,047942|0,066258) (0,245401|0,051867|0,090603) (0,283952|0,045325|0,116278)
(0,285356|0,01901|0,04771) (0,25218|0,047942|0,066258) (0,299372|0,037209|0,09993)
(0,335063|0,04804|0,139841) (0,299372|0,037209|0,09993) (0,283952|0,045325|0,116278)
(0,335063|0,04804|0,139841) (0,283952|0,045325|0,116278) (0,275392|0,050081|0,150596)
(0,221063|0,030137|-0,042739) (0,285356|0,01901|0,04771) (0,269479|-0,018495|0,025457)
(0,134913|-0,005405|0,222889) (0,212895|0,001127|0,2391) (0,18609|0,018594|0,225324)
(0,179507|0,05937|0,15615) (0,197132|0,038829|0,193919) (0,210118|0,051327|0,144984)
(0,179507|0,05937|0,15615) (0,210118|0,051327|0,144984) (0,245401|0,051867|0,090603)
(0,202229|0,071375|0,077101) (0,245401|0,051867|0,090603) (0,25218|0,047942|0,066258)
(0,21234|0,054666|0,024988) (0,25218|0,047942|0,066258) (0,285356|0,01901|0,04771)
(0,18609|0,018594|0,225324) (0,237103|0,01726|0,240273) (0,250269|0,030812|0,229489)
(0,189765|0,030812|0,212946) (0,250269|0,030812|0,229489) (0,250155|0,044421|0,181414)
(0,337726|-0,01769|0,110245) (0,311655|-0,017243|0,082165) (0,285356|0,01901|0,04771)
(0,310104|0,049733|0,209475) (0,250155|0,044421|0,181414) (0,250269|0,030812|0,229489)
(0,263549|0,009342|0,258263) (0,237103|0,01726|0,240273) (0,212895|0,001127|0,2391)
(0,18132|0,08284|0,118781) (0,179507|0,05937|0,15615) (0,202229|0,071375|0,077101)
(0,21234|0,054666|0,024988) (0,194878|0,06706|-0,002086) (0,200889|0,072569|0,0429)
(0,200889|0,072569|0,0429) (0,173528|0,117758|0,039341) (0,193881|0,09946|0,063227)
(0,193881|0,09946|0,063227) (0,202229|0,071375|0,077101) (0,200889|0,072569|0,0429)
(0,13439|0,030521|0,215195) (0,18609|0,018594|0,225324) (0,189765|0,030812|0,212946)
(0,13439|0,030521|0,215195) (0,189765|0,030812|0,212946) (0,197132|0,038829|0,193919)
(0,146609|0,060813|0,181356) (0,197132|0,038829|0,193919) (0,179507|0,05937|0,15615)
(0,146609|0,060813|0,181356) (0,179507|0,05937|0,15615) (0,162029|0,072668|0,15483)
(0,172499|0,111507|0,081236) (0,18132|0,08284|0,118781) (0,193881|0,09946|0,063227)
(0,16737|0,113687|0,006098) (0,173528|0,117758|0,039341) (0,184652|0,09728|0,002187)
(0,161653|0,104045|-0,019049) (0,184652|0,09728|0,002187) (0,174819|0,076681|-0,02998)
(0,161653|0,104045|-0,019049) (0,124736|0,120147|-0,021366) (0,134161|0,127904|0,01258)
(0,13439|0,030521|0,215195) (0,079342|0,023039|0,220054) (0,084373|0,001475|0,224043)
(0,161653|0,104045|-0,019049) (0,134161|0,127904|0,01258) (0,137363|0,130313|0,033758)
(0,173528|0,117758|0,039341) (0,137363|0,130313|0,033758) (0,131564|0,126944|0,07319)
(0,172499|0,111507|0,081236) (0,131564|0,126944|0,07319) (0,120751|0,108656|0,116141)
(0,172499|0,111507|0,081236) (0,120751|0,108656|0,116141) (0,119215|0,08718|0,15789)
(0,162029|0,072668|0,15483) (0,119215|0,08718|0,15789) (0,111472|0,060658|0,192257)
(0,146609|0,060813|0,181356) (0,111472|0,060658|0,192257) (0,079342|0,023039|0,220054)
(-0,054211|0,046057|0,193196) (-0,098593|0,02104|0,211391) (-0,002316|0,044188|0,195777)
(-0,044982|0,109627|0,123396) (-0,052268|0,083|0,158271) (0,015522|0,100935|0,120433)
(-0,021983|0,129135|0,073874) (-0,044982|0,109627|0,123396) (0,015897|0,122213|0,076827)
(-0,024466|0,13966|0,014741) (-0,021983|0,129135|0,073874) (0,015897|0,122213|0,076827)
(-0,065319|0,149842|-0,034888) (-0,024466|0,13966|0,014741) (0,02021|0,114892|-0,007717)
(-0,023845|0,126383|-0,041419) (-0,065319|0,149842|-0,034888) (0,02021|0,114892|-0,007717)
(-0,177147|0,027359|0,213943) (-0,175465|0,000894|0,222048) (-0,014583|0,001013|0,217707)
(-0,177262|0,074682|0,195621) (-0,177147|0,027359|0,213943) (-0,098593|0,02104|0,211391)
